time,event_id,event_type,length_event_list,length_queue,in_service,machine_status
1,1,departure,3,0,1,working
2,2,departure,4,5,1,working
3,3,arrival,3,9,1,working
4,4,departure,3,4,0,idle
5,5,arrival,1,6,0,working
6,6,departure,3,4,0,idle
7,7,arrival,2,9,1,idle
8,8,arrival,1,2,0,working
9,9,departure,3,7,0,working
10,10,departure,0,0,1,idle
11,11,arrival,2,6,1,idle
12,12,departure,4,7,0,working
13,13,departure,1,5,0,idle
14,14,arrival,1,8,0,idle
15,15,departure,0,6,1,working
16,16,departure,4,1,0,idle
17,17,departure,0,1,0,idle
18,18,arrival,4,1,0,idle
19,19,arrival,4,4,0,working
20,20,arrival,0,3,1,idle
21,21,departure,1,0,1,idle
22,22,arrival,1,5,0,working
23,23,arrival,4,4,0,working
24,24,arrival,0,5,0,idle
25,25,arrival,1,6,0,idle
26,26,arrival,4,1,0,idle
27,27,arrival,2,7,1,idle
28,28,departure,2,4,0,working
29,29,arrival,3,8,1,idle
30,30,arrival,1,5,0,working
31,31,departure,2,1,1,working
32,32,arrival,0,9,1,idle
33,33,arrival,1,1,1,working
34,34,departure,1,7,0,idle
35,35,arrival,4,1,0,idle
36,36,departure,3,8,0,working
37,37,arrival,3,9,1,idle
38,38,departure,1,1,0,working
39,39,arrival,2,7,0,working
40,40,departure,2,5,1,idle
41,41,arrival,2,2,1,idle
42,42,departure,4,4,0,working
43,43,departure,0,9,1,idle
44,44,arrival,3,7,1,working
45,45,departure,0,8,1,idle
46,46,arrival,3,4,0,idle
47,47,departure,0,6,1,working
48,48,arrival,2,1,1,working
49,49,departure,4,5,1,idle
50,50,arrival,0,4,1,idle
51,51,arrival,3,6,1,working
52,52,departure,4,7,0,idle
53,53,arrival,1,3,0,working
54,54,departure,4,7,0,working
55,55,arrival,0,7,0,working
56,56,departure,4,9,0,working
57,57,departure,4,5,0,working
58,58,departure,3,5,0,working
59,59,departure,3,1,0,working
60,60,arrival,3,9,0,working
61,61,arrival,4,6,1,idle
62,62,arrival,1,5,1,working
63,63,arrival,1,5,0,idle
64,64,departure,2,6,1,working
65,65,arrival,4,6,1,working
66,66,arrival,2,7,1,working
67,67,arrival,3,3,1,working
68,68,departure,1,8,0,working
69,69,arrival,0,8,0,idle
70,70,departure,3,2,0,working
71,71,departure,4,0,1,working
72,72,departure,4,1,0,idle
73,73,arrival,3,1,1,working
74,74,departure,2,3,0,working
75,75,arrival,0,5,0,idle
